order_date,customer_id,shipping_method_id,dest_address_id
2022-08-05 15:06:37,867,1,914
2025-05-26 15:06:37,1780,4,926
2024-06-30 15:06:37,1146,4,461
2024-02-12 15:06:37,1139,2,716
2022-08-22 15:06:37,56,1,615
2024-11-06 15:06:37,1758,4,65
2024-12-25 15:06:37,1041,3,566
2022-12-11 15:06:37,159,3,403
2022-11-24 15:06:37,290,3,31
2024-03-10 15:06:37,1707,1,180
2025-02-11 15:06:37,804,4,376
2024-08-17 15:06:37,156,1,270
2024-05-22 15:06:37,758,2,814
2023-10-19 15:06:37,837,2,574
2022-07-24 15:06:37,251,4,469
2025-02-03 15:06:37,699,3,137
2024-09-28 15:06:37,305,4,321
2024-02-24 15:06:37,354,3,550
2023-07-15 15:06:37,380,4,713
2023-05-09 15:06:37,1596,4,393
2024-05-17 15:06:37,1644,2,854
2023-02-24 15:06:37,412,1,952
2022-09-10 15:06:37,964,4,811
2024-10-17 15:06:37,165,4,437
2025-02-05 15:06:37,779,4,263
2025-05-21 15:06:37,470,3,505
2023-11-04 15:06:37,1083,4,958
2025-04-18 15:06:37,1118,1,566
2024-06-02 15:06:37,1048,1,8
2025-05-11 15:06:37,800,2,51
2022-07-12 15:06:37,660,3,438
2022-12-30 15:06:37,775,4,522
2023-08-01 15:06:37,1432,1,605
2023-12-24 15:06:37,707,4,69
2023-08-19 15:06:37,820,4,713
2023-01-09 15:06:37,410,1,219
2025-02-03 15:06:37,38,3,894
2025-01-26 15:06:37,470,4,731
2023-07-12 15:06:37,1629,2,912
2022-07-23 15:06:37,1191,1,435
2024-01-15 15:06:37,490,1,227
2023-10-17 15:06:37,266,4,392
2023-05-26 15:06:37,1116,4,533
2024-09-13 15:06:37,694,2,97
2024-04-17 15:06:37,1663,4,280
2022-10-27 15:06:37,1381,4,337
2024-08-17 15:06:37,1086,3,146
2024-11-25 15:06:37,1162,1,330
2024-05-18 15:06:37,497,2,402
2022-11-24 15:06:37,1188,2,507
2024-01-22 15:06:37,1777,4,237
2023-07-16 15:06:37,440,3,314
2024-02-15 15:06:37,874,4,615
2024-01-01 15:06:37,1627,3,556
2024-05-07 15:06:37,1049,3,292
2022-08-22 15:06:37,689,1,915
2023-06-06 15:06:37,1662,1,428
2024-01-29 15:06:37,1840,3,86
2023-01-20 15:06:37,1199,3,707
2024-06-20 15:06:37,929,1,311
2024-09-29 15:06:37,1766,4,467
2022-07-20 15:06:37,741,2,144
2023-04-28 15:06:37,1585,1,317
2024-10-21 15:06:37,310,2,95
2024-01-14 15:06:37,203,1,143
2023-10-21 15:06:37,908,1,694
2023-11-09 15:06:37,1628,1,527
2024-03-15 15:06:37,1353,2,188
2024-11-11 15:06:37,343,4,18
2022-08-18 15:06:37,1109,4,519
2024-07-15 15:06:37,288,3,11
2024-12-22 15:06:37,1348,3,19
2024-11-18 15:06:37,1859,4,857
2022-10-09 15:06:37,1989,4,697
2024-07-08 15:06:37,704,3,510
2024-09-13 15:06:37,883,4,861
2024-06-28 15:06:37,1377,2,494
2025-05-22 15:06:37,924,3,534
2024-07-26 15:06:37,269,3,636
2023-07-24 15:06:37,1968,2,654
2022-10-14 15:06:37,1346,3,273
2024-04-11 15:06:37,1232,3,208
2023-10-03 15:06:37,657,2,763
2024-09-12 15:06:37,232,4,70
2023-09-18 15:06:37,384,4,576
2023-07-06 15:06:37,479,2,667
2025-05-25 15:06:37,889,4,215
2022-08-03 15:06:37,1806,2,718
2023-07-18 15:06:37,333,2,881
2023-02-15 15:06:37,1226,2,638
2023-01-13 15:06:37,339,2,842
2023-05-20 15:06:37,542,4,382
2023-03-23 15:06:37,43,2,119
2025-04-07 15:06:37,1709,1,832
2023-06-12 15:06:37,1384,2,328
2024-02-07 15:06:37,466,1,306
2025-02-12 15:06:37,762,2,77
2023-02-06 15:06:37,613,2,881
2024-11-01 15:06:37,1230,4,338
2024-06-04 15:06:37,498,3,393
2025-05-21 15:06:37,355,1,522
2023-11-29 15:06:37,1295,1,739
2022-09-13 15:06:37,724,1,314
2022-10-24 15:06:37,189,2,562
2024-09-06 15:06:37,1366,1,250
2025-04-20 15:06:37,577,2,295
2023-03-06 15:06:37,1707,4,428
2023-06-27 15:06:37,1302,3,356
2022-11-23 15:06:37,738,2,750
2024-09-04 15:06:37,644,3,831
2022-12-10 15:06:37,1762,4,45
2023-09-03 15:06:37,292,4,2
2022-09-29 15:06:37,469,2,625
2023-08-26 15:06:37,643,1,556
2023-09-11 15:06:37,86,3,711
2023-07-07 15:06:37,835,2,579
2023-05-23 15:06:37,384,1,4
2024-01-19 15:06:37,490,3,237
2024-01-30 15:06:37,980,3,102
2025-05-05 15:06:37,197,3,4
2025-04-21 15:06:37,1771,3,409
2024-11-02 15:06:37,995,2,849
2022-10-14 15:06:37,116,3,308
2025-05-01 15:06:37,432,4,285
2022-09-06 15:06:37,1098,4,711
2023-12-19 15:06:37,1213,4,836
2023-12-12 15:06:37,396,4,887
2024-02-26 15:06:37,605,3,855
2023-10-25 15:06:37,1004,1,8
2022-12-02 15:06:37,1444,3,816
2024-12-02 15:06:37,235,3,966
2022-10-22 15:06:37,1222,3,775
2025-05-23 15:06:37,670,3,543
2023-05-16 15:06:37,1299,2,746
2023-08-02 15:06:37,44,4,420
2023-04-06 15:06:37,1855,1,3
