order_id,status_id,status_date
19853,4,2025-06-10 15:07:07
2622,1,2025-05-31 15:07:07
9930,1,2025-05-22 15:07:07
10962,1,2025-05-15 15:07:07
5030,1,2025-06-10 15:07:07
2808,4,2025-05-29 15:07:07
22437,3,2025-06-04 15:07:07
7187,2,2025-05-23 15:07:07
8233,4,2025-05-17 15:07:07
2466,2,2025-05-14 15:07:07
4293,2,2025-05-18 15:07:07
14929,4,2025-06-11 15:07:07
14581,2,2025-05-21 15:07:07
19695,4,2025-05-24 15:07:07
9687,1,2025-05-15 15:07:07
21973,3,2025-05-18 15:07:07
21941,4,2025-05-20 15:07:07
16056,3,2025-06-01 15:07:07
13758,4,2025-06-05 15:07:07
5013,3,2025-06-05 15:07:07
7516,2,2025-06-02 15:07:07
3508,4,2025-06-07 15:07:07
6616,1,2025-05-15 15:07:07
21258,3,2025-06-07 15:07:07
13942,2,2025-06-06 15:07:07
9678,2,2025-06-08 15:07:07
8811,3,2025-05-23 15:07:07
2032,3,2025-05-23 15:07:07
17083,2,2025-05-14 15:07:07
19836,2,2025-06-12 15:07:07
8657,4,2025-05-30 15:07:07
4393,6,2025-05-25 15:07:07
12435,5,2025-05-18 15:07:07
12731,3,2025-05-28 15:07:07
19992,2,2025-05-28 15:07:07
16351,2,2025-05-18 15:07:07
19480,1,2025-05-30 15:07:07
11267,3,2025-06-08 15:07:07
13048,4,2025-05-23 15:07:07
7511,2,2025-06-09 15:07:07
22602,1,2025-05-25 15:07:07
12469,2,2025-05-20 15:07:07
8652,1,2025-06-02 15:07:07
4650,1,2025-05-22 15:07:07
15154,2,2025-05-24 15:07:07
3660,1,2025-05-25 15:07:07
5288,1,2025-06-07 15:07:07
3654,1,2025-06-02 15:07:07
3236,4,2025-05-28 15:07:07
18032,1,2025-06-04 15:07:07
5453,4,2025-05-30 15:07:07
10346,4,2025-06-09 15:07:07
17315,5,2025-06-10 15:07:07
9971,2,2025-05-17 15:07:07
15872,2,2025-05-16 15:07:07
22875,2,2025-05-27 15:07:07
6901,4,2025-06-10 15:07:07
10345,1,2025-05-29 15:07:07
13779,2,2025-05-17 15:07:07
3523,3,2025-05-24 15:07:07
17164,3,2025-06-03 15:07:07
16023,6,2025-05-18 15:07:07
23027,3,2025-05-16 15:07:07
5658,2,2025-06-04 15:07:07
15551,1,2025-05-27 15:07:07
22729,4,2025-05-21 15:07:07
18539,2,2025-05-31 15:07:07
15846,1,2025-06-03 15:07:07
22697,2,2025-05-26 15:07:07
14131,3,2025-06-09 15:07:07
2967,6,2025-05-27 15:07:07
10726,4,2025-05-27 15:07:07
20740,3,2025-05-14 15:07:07
15740,1,2025-06-01 15:07:07
15304,2,2025-05-24 15:07:07
6096,4,2025-05-27 15:07:07
13069,1,2025-05-20 15:07:07
14148,4,2025-06-08 15:07:07
7521,1,2025-05-20 15:07:07
2265,1,2025-05-23 15:07:07
5006,1,2025-06-09 15:07:07
4277,1,2025-05-24 15:07:07
12090,1,2025-06-09 15:07:07
17000,3,2025-05-24 15:07:07
22170,2,2025-05-23 15:07:07
10012,1,2025-05-16 15:07:07
5963,3,2025-05-16 15:07:07
23281,2,2025-06-02 15:07:07
2458,1,2025-05-27 15:07:07
3982,2,2025-06-01 15:07:07
18777,3,2025-05-18 15:07:07
11614,1,2025-06-01 15:07:07
16908,1,2025-06-01 15:07:07
23066,2,2025-05-21 15:07:07
15764,2,2025-06-04 15:07:07
13625,1,2025-05-16 15:07:07
16247,3,2025-05-22 15:07:07
2772,3,2025-05-25 15:07:07
1456,1,2025-05-18 15:07:07
9227,3,2025-05-18 15:07:07
10974,3,2025-06-08 15:07:07
21671,1,2025-05-29 15:07:07
18963,4,2025-06-11 15:07:07
17653,4,2025-05-29 15:07:07
1511,4,2025-05-17 15:07:07
7963,2,2025-05-18 15:07:07
22477,2,2025-05-14 15:07:07
13503,4,2025-06-06 15:07:07
8249,2,2025-06-06 15:07:07
17286,4,2025-05-25 15:07:07
15845,4,2025-05-21 15:07:07
21076,1,2025-05-22 15:07:07
6066,2,2025-05-21 15:07:07
12150,4,2025-06-09 15:07:07
14753,1,2025-06-05 15:07:07
12881,1,2025-06-04 15:07:07
2051,2,2025-06-11 15:07:07
2033,2,2025-05-14 15:07:07
16332,2,2025-05-14 15:07:07
4129,2,2025-06-12 15:07:07
11049,1,2025-05-24 15:07:07
2633,2,2025-05-22 15:07:07
16994,1,2025-05-30 15:07:07
12754,4,2025-05-26 15:07:07
15791,1,2025-06-10 15:07:07
8888,2,2025-05-14 15:07:07
17918,4,2025-05-24 15:07:07
10403,2,2025-05-30 15:07:07
9639,1,2025-05-14 15:07:07
14206,3,2025-05-27 15:07:07
10842,6,2025-06-07 15:07:07
18614,1,2025-06-05 15:07:07
8649,4,2025-05-18 15:07:07
16397,2,2025-05-26 15:07:07
14239,1,2025-06-03 15:07:07
8470,2,2025-05-26 15:07:07
9546,4,2025-06-07 15:07:07
17738,2,2025-06-12 15:07:07
6119,4,2025-05-29 15:07:07
13406,1,2025-05-14 15:07:07
4268,1,2025-05-23 15:07:07
6729,4,2025-06-04 15:07:07
4433,2,2025-06-01 15:07:07
6344,3,2025-05-27 15:07:07
2710,2,2025-05-29 15:07:07
8074,2,2025-05-27 15:07:07
21886,3,2025-05-15 15:07:07
17608,2,2025-06-08 15:07:07
14712,1,2025-05-29 15:07:07
19049,4,2025-05-20 15:07:07
18727,1,2025-06-02 15:07:07
6741,2,2025-06-01 15:07:07
9351,2,2025-06-01 15:07:07
19875,1,2025-05-21 15:07:07
22324,4,2025-06-03 15:07:07
21029,2,2025-05-24 15:07:07
21986,4,2025-06-11 15:07:07
8518,1,2025-05-25 15:07:07
18240,1,2025-05-17 15:07:07
7986,4,2025-06-12 15:07:07
17254,2,2025-05-15 15:07:07
6071,4,2025-06-12 15:07:07
22184,3,2025-06-07 15:07:07
15997,4,2025-06-09 15:07:07
5333,2,2025-06-11 15:07:07
8652,4,2025-06-09 15:07:07
13634,2,2025-06-09 15:07:07
2086,2,2025-06-03 15:07:07
20727,4,2025-05-25 15:07:07
9691,5,2025-06-12 15:07:07
17734,2,2025-05-16 15:07:07
15755,1,2025-05-22 15:07:07
19529,6,2025-05-17 15:07:07
20877,3,2025-06-06 15:07:07
15726,2,2025-05-30 15:07:07
14257,2,2025-05-15 15:07:07
13062,2,2025-06-03 15:07:07
13442,3,2025-06-02 15:07:07
9176,2,2025-05-31 15:07:07
15496,1,2025-05-24 15:07:07
14244,2,2025-05-19 15:07:07
11655,2,2025-06-11 15:07:07
6468,2,2025-05-16 15:07:07
10713,3,2025-05-24 15:07:07
19655,3,2025-05-30 15:07:07
10040,2,2025-05-30 15:07:07
13941,2,2025-05-24 15:07:07
15171,3,2025-06-06 15:07:07
19789,4,2025-06-01 15:07:07
13891,3,2025-05-30 15:07:07
15128,3,2025-05-14 15:07:07
10331,3,2025-05-23 15:07:07
10228,1,2025-06-07 15:07:07
9617,2,2025-06-11 15:07:07
4938,2,2025-06-01 15:07:07
21083,2,2025-05-18 15:07:07
13271,2,2025-06-11 15:07:07
15790,3,2025-06-08 15:07:07
13506,1,2025-05-28 15:07:07
1601,3,2025-05-31 15:07:07
21937,4,2025-06-05 15:07:07
11932,6,2025-05-25 15:07:07
18315,2,2025-05-23 15:07:07
17109,1,2025-06-04 15:07:07
21503,2,2025-06-11 15:07:07
7588,1,2025-05-21 15:07:07
13955,1,2025-05-25 15:07:07
13479,2,2025-06-08 15:07:07
4663,3,2025-06-09 15:07:07
22601,2,2025-06-12 15:07:07
7503,1,2025-06-12 15:07:07
6940,4,2025-06-12 15:07:07
11395,6,2025-05-14 15:07:07
12050,3,2025-05-21 15:07:07
2785,3,2025-05-18 15:07:07
11722,2,2025-06-04 15:07:07
20784,2,2025-05-18 15:07:07
6443,2,2025-05-15 15:07:07
22307,1,2025-05-30 15:07:07
20652,1,2025-06-11 15:07:07
9992,1,2025-05-14 15:07:07
13474,3,2025-06-11 15:07:07
10270,1,2025-06-07 15:07:07
19634,3,2025-05-16 15:07:07
18901,2,2025-06-09 15:07:07
